,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
869,NR_120581.1,134,16,0
870,NR_109836.1,134,16,0
871,NR_109836.1,15,0,0
872,NR_109836.1,15,0,0
873,NR_109836.1,15,0,0
874,NR_045262.2,25,5,0
875,NR_045262.2,25,5,0
876,NR_045262.2,25,5,0
877,NR_045262.2,8,0,0
878,NR_046325.1,9,2,0
879,NR_002769.1,19,0,0
880,NR_027148.1,7,0,0
881,NR_049735.2,30,0,0
882,NR_103745.2,2,0,0
883,NR_038281.1,6,1,0
884,NR_038282.1,3,3,3
885,NR_038283.1,4,4,4
886,NR_003367.3,3,1,0
887,NR_026646.1,3,1,0
888,NR_036537.1,7,0,0
889,NR_033932.1,7,0,0
890,NR_026785.1,6,1,0
891,NR_110375.1,6,1,0
892,NR_038942.1,24,3,0
893,NR_132377.1,60,1,0
894,NR_038300.1,8,0,0
895,NR_026968.1,8,0,0
896,NR_110702.1,8,0,0
897,NR_028443.1,18,2,0
898,NR_038380.1,18,2,0
899,NR_003098.2,18,2,0
900,NR_003098.2,2,1,0
901,NR_003098.2,6,0,0
902,NR_152575.1,7,0,0
903,NR_152576.1,6,0,0
904,NR_024127.2,7,0,0
905,NR_024127.2,13,1,0
906,NR_024127.2,13,1,0
907,NR_024127.2,13,1,0
908,NR_146177.1,13,1,0
909,NR_003697.2,13,1,0
910,NR_038108.1,13,1,0
911,NR_038108.1,13,1,0
912,NR_038108.1,13,1,0
913,NR_015366.5,13,1,0
914,NR_015366.5,13,1,0
915,NR_027058.1,13,1,0
916,NR_027058.1,13,1,0
917,NR_036473.1,13,1,0
918,NR_003038.2,13,1,0
919,NR_003038.2,5,0,0
920,NR_003038.2,12,0,0
921,NR_002599.2,14,3,0
922,NR_003672.2,16,0,0
923,NR_003672.2,10,0,0
924,NR_003584.3,17,1,0
925,NR_075091.1,9,0,0
926,NR_075091.1,4,0,0
927,NR_075091.1,11,0,0
928,NR_075091.1,18,0,0
929,NR_075091.1,4,0,0
930,NR_131221.1,20,4,0
931,NR_131221.1,18,0,0
932,NR_131221.1,5,0,0
933,NR_160958.1,5,0,0
934,NR_160959.1,9,0,0
935,NR_160960.1,9,0,0
936,NR_034077.1,8,0,0
937,NR_144530.1,8,0,0
938,NR_027064.3,8,0,0
939,NR_027064.3,8,0,0
940,NR_027064.3,175,1,0
941,NR_027064.3,8,0,0
942,NR_027064.3,9,0,0
943,NR_027157.1,9,0,0
944,NR_038458.1,9,0,0
945,NR_109770.1,12,0,0
946,NR_015381.1,12,0,0
947,NR_033711.1,17,1,0
948,NR_033711.1,17,1,0
949,NR_033711.1,18,0,0
950,NR_033710.1,16,0,0
951,NR_033711.1,2,0,0
952,NR_033711.1,2,0,0
953,NR_024458.1,2,0,0
954,NR_051976.1,4,0,0
955,NR_051976.1,23,5,0
956,NR_051976.1,23,5,0
957,NR_109964.1,4,1,0
958,NR_109964.1,4,1,0
959,NR_028393.1,18,0,0
960,NR_028394.1,16,0,0
961,NR_028395.1,13,0,0
962,NR_028396.1,16,0,0
963,NR_028397.1,15,0,0
964,NR_028398.1,11,0,0
965,NR_028399.1,2,2,2
966,NR_028400.1,1,1,1
967,NR_109964.1,18,0,0
968,NR_110492.1,18,0,0
969,NR_110493.1,16,0,0
970,NR_002323.2,13,0,0
971,NR_152867.1,16,0,0
972,NR_152868.1,15,0,0
973,NR_152869.1,11,0,0
974,NR_152870.1,2,2,2
975,NR_152871.1,1,1,1
976,NR_110492.1,18,0,0
977,NR_110493.1,16,0,0
978,NR_002323.2,13,0,0
979,NR_152867.1,16,0,0
980,NR_152868.1,15,0,0
981,NR_152869.1,11,0,0
982,NR_152870.1,2,2,2
983,NR_152871.1,1,1,1
984,NR_110492.1,18,0,0
985,NR_110493.1,16,0,0
986,NR_002323.2,13,0,0
987,NR_152867.1,16,0,0
988,NR_152868.1,15,0,0
989,NR_152869.1,11,0,0
990,NR_152870.1,2,2,2
991,NR_152871.1,1,1,1
992,NR_110492.1,5,0,0
993,NR_110492.1,5,0,0
994,NR_015391.1,5,0,0
995,NR_015379.3,7,0,0
996,NR_015379.3,8,0,0
997,NR_015379.3,10,0,0
998,NR_015379.3,4,0,0
999,NR_015379.3,30,10,0
1000,NR_015379.3,30,10,0
1001,NR_015379.3,30,10,0
1002,NR_015379.3,30,10,0
1003,NR_015379.3,30,10,0
1004,NR_015379.3,17,1,0
1005,NR_015379.3,9,4,1
1006,NR_015379.3,11,0,0
1007,NR_015379.3,4,1,0
1008,NR_015379.3,61,6,0
1009,NR_015379.3,61,6,0
1010,NR_015379.3,61,6,0
1011,NR_015379.3,61,6,0
1012,NR_015379.3,61,6,0
1013,NR_015379.3,12,0,0
1014,NR_015379.3,6,0,0
1015,NR_015379.3,6,0,0
1016,NR_015379.3,6,0,0
1017,NR_015379.3,9,1,0
1018,NR_015379.3,9,1,0
1019,NR_136215.1,45,2,0
1020,NR_036480.1,9,1,0
1021,NR_120546.1,31,4,0
1022,NR_120547.1,30,4,0
1023,NR_023920.2,30,4,0
1024,NR_120548.1,12,0,0
1025,NR_120549.1,12,0,0
1026,NR_001564.2,31,4,0
1027,NR_001564.2,31,4,0
1028,NR_001564.2,31,4,0
1029,NR_001564.2,31,4,0
1030,NR_001564.2,9,0,0
1031,NR_024284.1,2,0,0
1032,NR_024284.1,10,0,0
1033,NR_024284.1,10,0,0
1034,NR_024284.1,10,0,0
1035,NR_003604.3,10,0,0
1036,NR_003604.3,10,0,0
1037,NR_003604.3,10,0,0
1038,NR_003604.3,10,0,0
1039,NR_003604.3,10,0,0
1040,NR_125796.1,10,0,0
1041,NR_125796.1,10,0,0
1042,NR_003604.3,10,0,0
